From,Name,Price,Want,Have
Target,Riedel Vivant Red Wine Glasses Set of 4,$38.29,2,1
Target,Nintendo Wii Console with Mario Kart Bundle - White (Nintendo Wii),$134.99,1,1
Target,Wii Remote Plus - White (Nintendo Wii),$31.99,1,0
Target,Swiss Gear Zurich Upright - Metallic Pewter (20"),$109.99,1,0
Target,Swiss Gear TSA Compatible Messenger Bag - Black,$59.99,1,0
Target,Black & Decker Cordless Rechargeable Hand Saw,$29.99,1,0
Target,Monopoly Electronic Banking Edition,$29.89,1,0
Target,Taboo Game,$26.99,1,0
Target,Smart Ass Game,$22.99,1,1
Target,Sportcraft 6 Player Croquet Set,$38.49,1,0
Target,New Super Mario Bros. Wii (Nintendo Wii),$49.99,1,1
Target,Carcassonne,$29.99,1,0
Target,Aroma Digital Rice Cooker - Stainless Steel (20 cups),$37.99,1,1
Target,Riedel Vivant White Wine Glasses Set of 4,$38.29,2,1
Target,JBL OnStage Micro II Portable Speaker Dock for iPhoneÂ®/iPodÂ® (JBLOSM2BLKV) with Line-in - Black,$79.99,1,0
Target,Left Center Right Dice Game - Yellow,$9.99,1,0
Target,Swiss Gear Zurich Upright - Black (20"),$109.99,1,0
Target,SwissGear Dop Kit - Black,$18.99,1,0
Target,Weight Watchers Glass Scale - White,$24.99,1,0
Target,Hasbro Games THINGS Humor In A Box,$28.99,1,0
Target,Electronic Catch Phrase Game,$26.89,1,1
Target,Bananagrams Game,$14.99,1,1
Target,Donkey Kong Country Returns (Nintendo Wii),$49.99,1,0
Target,Super Mario Galaxy 2 (Nintendo Wii),$49.99,1,0
Target,The Settlers of Catan 5-6 Player Extension,$19.99,1,0
Target,Wedding Box Toppers GiftCard,,,
Crate,Felt Dinnerware Protectors,$9.95,8,0
Crate,Essential Dinner 10.5",$4.95,12,0
Crate,Essential Salad Plate,$3.95,12,0
Crate,Swoop Bowl Large 12",$19.95,1,0
Crate,Essential Bowl 7",$2.95,12,12
Crate,Court Mug 12oz.,$3.95,8,8
Crate,Verve Flute 5oz.,$12.95,8,8
Crate,Beaded Rim Napkin Ring Silver,$3.95,12,0
Crate,Slate Coasters Set of 4,$19.95,2,0
Crate,Riga Platter Small,$14.95,1,0
Crate,Travis Pitcher 95oz.,$29.95,1,1
Crate,Ona Pitcher 17oz., reg. $16.95,2,0
Crate,Brown Marble Wine Cooler,$24.95,1,0
Crate,Acacia Wood Bowl Individual,$6.95,8,2
Crate,Brown Marble Oval Cheeseboard,$19.95,1,0
Crate,Acacia Wood Appetizer Plate,$4.95,8,8
Crate,Acacia Wood Platter,$15.95,1,1
Crate,Insulated Cookie Sheet 14x16,$16.95,1,0
Crate,18x13 Prof Nonstick Baking Sheet,$19.95,2,0
Crate,Commercial Baking Sheet 18x13", reg. $16.95,2,0
Crate,Herb Keeper,$19.95,1,0
Crate,Black Nylon Pourer,$2.95,4,0
Crate,Black Can and Bottle Opener,$5.95,1,0
Crate,Marble Grey Wine Cooler 7",$26.95,1,0
Crate,Dots Rectangle Plate 6",$3.95,8,0
Crate,Dots Rectangle Platter 12.5",$12.95,1,0
Crate,Chrysanthemum Noodle Bowl 7.5",$6.95,2,0
Crate,Chambord 32oz. French Press,$39.95,1,0
Crate,Rolling Pin,$14.95,1,0
Crate,Double Action Potato Masher,$10.95,1,0
Crate,Non-stick Barbeque Skewers,$1.25,16,0
Crate,Stainless Steel & Nylon Tongs 12",$12.95,1,0
Crate,Set of 3 Cheese Tools,$16.95,1,0
Crate,Utensil Pot Clip,$6.95,1,0
Crate,Glass 10 Piece Bowl Set,$29.95,1,0
Crate,Set of 3 Bar Mop Dishtowels,$9.95,2,0
Crate,Set of 3 Bar Mop Dishcloths,$5.95,3,0
Crate,Pastello F'11 Dishtowels Set of 4,$21.95,2,0
Crate,Black Silicone Mitt,$19.95,2,0
Crate,Mesh Colanders Set of 2,$19.95,1,0
Crate,Grip Bottle Opener,$5.95,0,1
Crate,Slate Cheese Board 12"x5.5",$9.95,1,1
Crate,Oxo Steel Garlic Press,$18.95,1,1
Crate,Epicurean Dishwashsafeboard12x9, reg. $22.95,2,0
Crate,Oil & Vinegar Cruet,$22.95,2,0
Crate,Spin Hurricane Large,$34.95,1,0
Crate,Spin Hurricane Small,$24.95,1,0
Crate,Clear Iridescent Pebbles 2 Lbs,$8.95,1,0
Crate,Pippa Bud Vase 7.25",$9.95,2,0
Crate,Brooklyn Vase 9.75",$34.95,1,0
Crate,Shesham Wall/Stacking Wine Rack,$29.95,2,0
Crate,Thea 18x18 Pillow,$36.95,2,0
Crate,Antuco Pillar Candle 3x6 Amber,$8.95,1,0
Crate,Antuco Pillar Candle 4x6 Amber,$13.95,2,0
Crate,Square White Vase/Planter Large,$9.95,2,0
Crate,Structure Wall Frame 4-Pic,$32.95,1,0
Crate,Structure Wall Frame 3-4x6, reg. $26.95,1,0
Crate,Structure Wall Frame 4x6, reg. $14.95,2,0
Crate,Dove Bowl,$49.95,1,0
Crate,Lima Alpaca Azure 50x70 Throw,$169.00,1,1
Macys,Waterford Lucerne Wine Glas,$55.00,12,0
Macys,Waterford "Lucerne" Iced Beverage,$65.00,12,0
Macys,Red & Barton "Bristol" 1-Drawer Flatware Chest,$119.99,1,1
Macys,Dansk Flatware 18/10 Clasic Fjord I 5 Piece Place Seting,$29.99,12,4
Macys,Nambe/rogaska America Inc "Piroet" 15"bowl Crystal,,1,1
Macys,Nambe "Cherish" Picture Frame 4" x 6",$75.00,1,0
Macys,Dansk Metal Serveware Clasic Fjord 3 Piece Salad Set,$79.99,1,1
Macys,Nambe "Lounge" Chip And Dip 15",$150.00,1,1
Macys,Nambe Serveware Buterfly Chese Tray with Knife,$125.00,1,0
Macys,simplehuman Deluxe Rectangular Step Trash Can 38-Liter,$129.99,1,1
Macys,Charcoal Companion "Locking Tongs Rosewd",,1,0
Macys,Charcoal Companion "Corn Basket",,1,1
Macys,KitchenAid KHM5AP Hand Mixer 5 Sped Ultra Power,$39.99,1,0
Macys,Le Creuset Enameled Cast Iron Square Skilet Gril 10.25",$124.99,1,0
Macys,Le Creuset Enameled Cast Iron Round French Oven 2 Qt.,$144.99,1,0
Macys,Le Creuset Tart Dish 9",$34.99,1,0
Macys,Primula Piza Stone Set 15",$19.99,1,1
Macys,Le Creuset Enameled Stoneware Loaf Pan,$34.99,1,0
Macys,Calphalon Unison Nonstick 10-Piece Cokware Set,$599.99,1,0
Macys,Calphalon Unison Omelete Pans 8" and 10" Set of 2 Combo Pack,$59.99,1,0
Macys,Calphalon Unison Nonstick Slide Round Gridle Pan 12",$49.99,1,0
Macys,Calphalon Unison Nonstick Sear Covered Sauté Pan 3 Qt.,$99.99,1,0
Macys,Calphalon Unison Nonstick Sear Flat-Botom Wok 13",$99.99,1,0
Macys,Wusthof "Grand Prix I" 4-Piece Steak Knife Set,$149.99,2,0
Macys,Wusthof Clasic Straight Parer 3",$49.99,1,0
Macys,Wusthof Clasic Tomato Knife 5",$69.99,1,0
Macys,Wüsthof Knife Sharpener 2 Stage Handheld,$19.99,1,0
Macys,Hotel Colection Beding 60 Thread Count Quen Fited Shet,$89.99,1,0
Macys,Hotel Colection Beding 60 Thread Count Quen Flat Shet,$89.99,1,0
Macys,Hotel Colection Beding Pair of 60 Thread Count Standard Pilowcases,$54.99,1,1
Macys,Hotel Colection Beding Woven Pleats Quen Ful/Duvet Cover,$179.99,1,0
Macys,Hotel Colection Beding Pair of Woven Pleats European Shams,$109.99,1,0
Macys,Hotel Colection Beding Primaloft Density Medium Standard/Quen Pilow,$59.99,2,2
Macys,Hotel Colection Beding Lightweight King Down Comforter,$234.99,1,0
